iter	Passed	Remaining
0	1	126
1	2	120
2	3	108
3	4	98
4	5	98
5	6	95
6	7	94
7	8	92
8	9	91
9	9	89
10	10	87
11	11	86
12	12	84
13	13	84
14	14	84
15	15	83
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	29	71
29	30	70
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	39	63
38	39	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	59	42
58	60	42
59	61	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	69	35
66	70	34
67	71	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
