iter	Passed	Remaining
0	134	134534
1	135	67731
2	136	45438
3	137	34290
4	138	27631
5	139	23185
6	140	19995
7	141	17595
8	142	15726
9	143	14237
10	144	13022
11	145	12018
12	146	11155
13	147	10417
14	148	9779
15	150	9234
16	151	8759
17	152	8327
18	153	7938
19	154	7587
20	155	7267
21	156	6975
22	157	6710
23	159	6468
24	160	6247
25	161	6038
26	162	5841
27	162	5658
28	163	5488
29	164	5333
30	166	5189
31	167	5052
32	168	4923
33	169	4804
34	170	4689
35	171	4580
36	172	4479
37	173	4385
38	174	4297
39	175	4206
40	176	4122
41	177	4044
42	178	3967
43	179	3897
44	180	3829
45	181	3763
46	182	3697
47	183	3635
48	184	3577
49	185	3527
50	186	3477
51	187	3427
52	189	3378
53	190	3331
54	191	3285
55	192	3241
56	193	3198
57	194	3157
58	195	3119
59	196	3078
60	197	3039
61	198	3002
62	199	2965
63	200	2928
64	201	2895
65	202	2862
66	203	2833
67	204	2801
68	205	2771
69	206	2740
70	207	2711
71	208	2683
72	209	2656
73	210	2631
74	211	2605
75	212	2580
76	213	2556
77	214	2533
78	215	2508
79	216	2485
80	217	2462
81	218	2441
82	218	2415
83	219	2394
84	220	2374
85	221	2355
86	222	2335
87	223	2315
88	224	2298
89	225	2280
90	226	2264
91	227	2248
92	228	2231
93	229	2214
94	230	2198
95	231	2183
96	232	2168
97	234	2154
98	235	2140
99	236	2125
100	237	2110
101	238	2096
102	239	2082
103	240	2069
104	241	2057
105	242	2045
106	243	2033
107	244	2021
108	245	2009
109	246	1996
110	247	1984
111	248	1972
112	249	1961
113	250	1949
114	251	1938
115	252	1926
116	253	1914
117	254	1904
118	255	1894
119	256	1884
120	258	1874
121	258	1862
122	259	1852
123	260	1843
124	261	1832
125	262	1823
126	263	1813
127	264	1804
128	266	1796
129	266	1786
130	267	1777
131	269	1769
132	270	1762
133	271	1755
134	272	1748
135	273	1740
136	274	1731
137	275	1723
138	277	1716
139	278	1709
140	279	1701
141	280	1692
142	281	1685
143	282	1678
144	283	1670
145	284	1664
146	285	1659
147	287	1652
148	288	1646
149	289	1639
150	290	1632
151	291	1626
152	292	1619
153	293	1613
154	294	1606
155	295	1599
156	296	1594
157	298	1588
158	299	1583
159	300	1577
160	301	1571
161	302	1566
162	303	1560
163	304	1554
164	305	1548
165	307	1542
166	308	1536
167	309	1531
168	310	1526
169	311	1521
170	312	1516
171	314	1512
172	315	1507
173	316	1501
174	317	1496
175	318	1490
176	319	1485
177	320	1479
178	321	1474
179	322	1468
180	323	1464
181	324	1458
182	325	1454
183	326	1448
184	327	1443
185	328	1438
186	329	1434
187	330	1429
188	331	1424
189	332	1419
190	333	1414
191	335	1410
192	336	1406
193	337	1402
194	338	1399
195	340	1394
196	341	1390
197	342	1385
198	343	1380
199	343	1375
200	344	1371
201	346	1367
202	347	1363
203	348	1359
204	349	1354
205	350	1350
206	351	1346
207	352	1342
208	353	1339
209	354	1335
210	356	1331
211	356	1326
212	358	1322
213	358	1318
214	359	1314
215	360	1310
216	362	1306
217	363	1302
218	364	1298
219	365	1294
220	366	1290
221	367	1287
222	368	1285
223	370	1281
224	371	1278
225	372	1275
226	373	1272
227	374	1269
228	376	1266
229	377	1263
230	378	1260
231	379	1257
232	381	1254
233	382	1251
234	383	1249
235	384	1246
236	385	1242
237	386	1238
238	388	1235
239	389	1232
240	390	1228
241	391	1225
242	392	1222
243	393	1219
244	394	1216
245	395	1213
246	397	1210
247	398	1207
248	399	1204
249	400	1201
250	401	1198
251	402	1195
252	403	1192
253	404	1189
254	406	1186
255	407	1183
256	408	1181
257	409	1178
258	410	1175
259	412	1173
260	413	1171
261	414	1168
262	416	1165
263	417	1162
264	418	1160
265	419	1157
266	420	1154
267	421	1151
268	422	1149
269	424	1146
270	425	1143
271	426	1141
272	427	1138
273	428	1135
274	429	1132
275	430	1129
276	431	1126
277	432	1123
278	433	1120
279	434	1118
280	436	1115
281	437	1113
282	438	1110
283	439	1108
284	440	1105
285	441	1103
286	443	1100
287	444	1098
288	445	1095
289	446	1093
290	447	1090
291	448	1087
292	449	1084
293	450	1082
294	451	1079
295	452	1077
296	453	1074
297	454	1071
298	455	1068
299	456	1065
300	457	1063
301	459	1061
302	460	1058
303	461	1055
304	461	1052
305	462	1049
306	463	1047
307	465	1044
308	466	1042
309	467	1040
310	468	1038
311	469	1035
312	470	1033
313	471	1030
314	472	1028
315	474	1026
316	474	1023
317	475	1020
318	476	1018
319	478	1015
320	478	1013
321	479	1010
322	480	1007
323	481	1005
324	482	1002
325	483	1000
326	484	998
327	486	995
328	487	993
329	488	991
330	489	989
331	490	987
332	491	985
333	493	983
334	494	980
335	495	978
336	496	976
337	497	973
338	498	971
339	498	968
340	499	966
341	501	964
342	502	961
343	503	959
344	504	957
345	505	954
346	506	952
347	507	950
348	508	948
349	509	946
350	510	943
351	511	942
352	513	940
353	513	937
354	515	935
355	516	933
356	517	932
357	518	930
358	519	928
359	520	925
360	521	923
361	523	921
362	524	920
363	525	918
364	526	916
365	528	914
366	529	913
367	530	911
368	531	909
369	533	907
370	534	906
371	535	904
372	537	902
373	538	900
374	539	898
375	540	896
376	541	894
377	542	892
378	543	890
379	544	888
380	545	886
381	546	884
382	548	883
383	549	881
384	550	879
385	551	877
386	552	875
387	553	873
388	554	871
389	556	870
390	557	868
391	558	866
392	559	864
393	560	862
394	561	860
395	562	858
396	564	856
397	565	855
398	566	853
399	567	851
400	568	849
401	570	847
402	571	846
403	572	844
404	573	842
405	574	840
406	575	839
407	577	837
408	578	835
409	579	833
410	580	831
411	581	830
412	582	828
413	584	827
414	585	825
415	586	823
416	588	822
417	589	820
418	590	818
419	591	816
420	592	815
421	594	813
422	595	812
423	596	810
424	597	808
425	598	807
426	600	805
427	601	803
428	602	801
429	603	800
430	604	798
431	605	796
432	606	794
433	607	792
434	608	790
435	610	789
436	611	787
437	612	785
438	613	783
439	614	781
440	615	779
441	616	777
442	617	775
443	618	774
444	619	772
445	620	770
446	621	768
447	622	767
448	623	765
449	624	763
450	625	761
451	626	759
452	627	757
453	628	756
454	629	754
455	630	752
456	632	750
457	633	749
458	634	747
459	635	746
460	636	744
461	637	742
462	638	740
463	640	739
464	641	737
465	642	736
466	643	734
467	644	732
468	645	730
469	646	729
470	647	727
471	648	725
472	649	723
473	650	722
474	651	720
475	653	718
476	654	717
477	655	715
478	656	713
479	657	712
480	658	710
481	659	708
482	660	706
483	661	705
484	662	703
485	663	701
486	664	700
487	665	698
488	666	696
489	667	694
490	668	692
491	669	691
492	670	689
493	671	687
494	672	685
495	673	684
496	674	682
497	674	680
498	675	678
499	676	676
500	677	675
501	678	673
502	679	671
503	680	669
504	681	667
505	682	665
506	683	664
507	683	662
508	684	660
509	686	659
510	687	657
511	687	655
512	688	653
513	689	652
514	690	650
515	691	648
516	692	647
517	693	645
518	694	643
519	695	641
520	696	640
521	697	638
522	698	636
523	698	634
524	699	633
525	700	631
526	701	630
527	702	628
528	703	626
529	704	624
530	705	623
531	706	621
532	707	620
533	708	618
534	709	616
535	710	615
536	711	613
537	712	611
538	713	609
539	714	608
540	715	606
541	716	605
542	717	603
543	718	602
544	719	600
545	720	599
546	721	597
547	722	595
548	723	594
549	724	592
550	725	590
551	726	589
552	727	587
553	728	586
554	728	584
555	729	582
556	730	581
557	732	579
558	732	578
559	734	576
560	735	575
561	735	573
562	736	572
563	737	570
564	738	568
565	739	567
566	740	565
567	741	564
568	742	562
569	743	561
570	745	559
571	746	558
572	747	557
573	749	555
574	750	554
575	751	553
576	752	551
577	753	550
